id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365
1017905,Modern 1 BR / NYC / EAST VILLAGE,86424057349,unconfirmed,Tyler,Manhattan,East Village,40.7292,-73.98542,,flexible,Entire home/apt,2010,$666 ,$133 ,14,29,4/19/2019,0.24,,1,56
1018457,front room/double bed,69410526955,unconfirmed,Byron,Manhattan,Harlem,40.82245,-73.95104,,flexible,Private room,2004,$770 ,$154 ,3,242,1/6/2019,2.04,,3,105
1019010,Spacious 1 bedroom in luxe building,80369762211,verified,Mary,Manhattan,Harlem,40.81305,-73.95466,,flexible,Private room,2007,$512 ,$102 ,2,88,6/14/2019,1.42,,1,169
1019562,Loft in Williamsburg Area w/ Roof,50968902783,unconfirmed,John,Brooklyn,Greenpoint,40.72219,-73.93762,,moderate,Private room,2007,$858 ,$172 ,4,197,6/15/2019,1.65,,3,383
1020114,back room/bunk beds,25066620900,verified,Alfred,Manhattan,Harlem,40.8213,-73.95318,,strict,Private room,2021,$545 ,$109 ,3,273,1/7/2019,2.37,,3,411
1020667,Large B&B Style rooms,57938703679,unconfirmed,Jared,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,TRUE,strict,Private room,2016,$191 ,$38 ,1,74,12/5/2019,0.66,,2,76
1021219,"Lovely room 2 & garden; Best area, Legal rental",53343148512,verified,Brad,Brooklyn,South Slope,40.66869,-73.9878,TRUE,moderate,Private room,2003,"$1,111 ",$222 ,4,168,6/21/2019,1.41,,3,416
1021771,Clean and Quiet in Brooklyn,26207748876,verified,Arthur,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,FALSE,moderate,Private room,2004,$203 ,$41 ,60,0,,,,1,294
1022323,Cute apt in artist's home,88653822946,verified,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,TRUE,moderate,Entire home/apt,2005,"$1,097 ",$219 ,2,231,6/22/2019,1.96,3,2,214
1022876,Country space in the city,49725315867,verified,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,TRUE,strict,Private room,2011,"$1,020 ",$204 ,1,0,,,3,1,356
1023428,LowerEastSide apt share shortterm 1,31736204344,,Clark,Manhattan,Lower East Side,40.71401,-73.98917,TRUE,moderate,Shared room,2012,"$1,010 ",$202 ,1,214,5/7/2019,1.81,5,4,110
1023980,ENJOY Downtown NYC!,63131487263,unconfirmed,Byron,Manhattan,East Village,40.7229,-73.98199,FALSE,strict,Private room,2005,$563 ,$113 ,2,245,6/21/2019,2.08,3,2,354
1024533,Beautiful Sunny Park Slope Brooklyn,50357575975,verified,Alina,Brooklyn,South Slope,40.66278,-73.97966,TRUE,flexible,Entire home/apt,2020,$370 ,$74 ,3,15,5/27/2019,0.39,2,1,33
1025085,1bdr w private bath. in lofty apt,45597582469,,Charlie,Brooklyn,Fort Greene,40.69673,-73.97584,FALSE,strict,Private room,2008,$687 ,$137 ,7,25,9/30/2018,0.23,1,1,405
1025637,West Side Retreat,55430108992,unconfirmed,Alford,Manhattan,Upper West Side,40.79009,-73.97927,FALSE,strict,Private room,2017,$856 ,$171 ,4,81,6/16/2019,0.69,3,1,86
1026190,BEST BET IN HARLEM,2107606817,unconfirmed,Chester,Manhattan,Harlem,40.81175,-73.94478,TRUE,flexible,Entire home/apt,2006,$62 ,$12 ,7,97,6/13/2019,0.84,,1,152
1026742,Entire apartment in central Brooklyn neighborhood.,41615406010,,David,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,FALSE,strict,Entire home/apt,2007,$435 ,$87 ,,11,5/6/2019,0.49,,1,353
1027294,"1 Stop fr. Manhattan! Private Suite,Landmark Block",81253735818,unconfirmed,Victoria,Queens,Long Island City,40.74771,-73.9474,TRUE,flexible,Private room,2022,$916 ,$183 ,,248,1/7/2019,2.25,,1,26
1027846,Charming Brownstone 3 - Near PRATT,42134614458,verified,Jared,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,TRUE,moderate,Entire home/apt,2019,$459 ,$92 ,,61,5/25/2019,0.52,,1,32
1028399,bright and stylish duplex,53466382920,verified,Chloe,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,FALSE,moderate,Entire home/apt,2015,$363 ,$73 ,,11,1/1/2017,0.1,1,1,85
1028951,Fort Greene brownstone,49393946881,unconfirmed,Abraham,Brooklyn,Fort Greene,40.69142,-73.97376,TRUE,strict,Private room,2009,$212 ,$42 ,,135,6/17/2019,1.16,1,2,
1029503,Blue Room for 2 in Brownstone for $1350 monthly,1529890895,unconfirmed,Sophia,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,FALSE,moderate,Private room,2015,$728 ,$146 ,,112,6/16/2019,1.01,2,3,
1030056,Cozy 1BD on Central Park West in New York City,50562514538,unconfirmed,Madaline,Manhattan,Upper West Side,40.78635,-73.97008,TRUE,strict,Entire home/apt,2013,$901 ,$180 ,,73,7/7/2019,0.63,3,1,
1030608,* ORIGINAL BROOKLYN LOFT *,49585766302,verified,Sawyer,Brooklyn,Williamsburg,40.7042,-73.9356,FALSE,flexible,Entire home/apt,2007,$335 ,$67 ,,82,5/17/2019,0.7,2,1,
1031160,Greenpoint Place...Has It All!,52857769781,unconfirmed,Madaline,Brooklyn,Greenpoint,40.73506,-73.95392,TRUE,moderate,Entire home/apt,2014,$254 ,$51 ,,328,6/29/2019,2.82,5,1,
1031713,Beautiful Apartment in Manhattan!!!,39829029279,verified,Richard,Manhattan,Kips Bay,40.73961,-73.98074,TRUE,moderate,Entire home/apt,2017,$903 ,$181 ,,19,3/25/2019,0.22,5,1,
1032265,Williamsburg 1 bedroom Apartment,84933495312,unconfirmed,Paul,Brooklyn,Williamsburg,40.70881,-73.9593,FALSE,moderate,Entire home/apt,2012,$439 ,$88 ,30,105,6/22/2019,0.9,5,1,
1037236,Double Room w Private Deck Clinton Hill Best Area,71078326464,unconfirmed,William,Brooklyn,Clinton Hill,40.69,-73.96788,FALSE,flexible,Private room,2010,$825 ,$165 ,7,27,9/30/2017,0.23,2,2,
1037788,Your Heaven in Hells Kitchen,20543275700,verified,Melissa,Manhattan,Hell's Kitchen,40.75979,-73.99119,FALSE,strict,Private room,2013,$646 ,$129 ,30,191,,1.65,1,1,
1038340,Light-filled 2B duplex in the heart of Park Slope!,42969787263,verified,Ellia,Brooklyn,Park Slope,40.67343,-73.98338,FALSE,flexible,Entire home/apt,2006,"$1,037 ",$207 ,3,4,9/24/2017,0.16,3,1,
1038892,"Sunny, Modern room in East Village!",79667908130,unconfirmed,Walter,Manhattan,East Village,40.72649,-73.97904,FALSE,strict,Private room,2015,$87 ,$17 ,1,338,1/7/2019,4.72,3,2,
1039445,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,19095545297,unconfirmed,Sawyer,Brooklyn,Williamsburg,40.70933,-73.96792,TRUE,moderate,Entire home/apt,2007,$316 ,$63 ,1,148,6/23/2019,1.4,1,1,
1039997,Large Room in Amazing East Village Apt,58710475260,unconfirmed,Valeria,Manhattan,East Village,40.72298,-73.98474,TRUE,flexible,Private room,2017,$735 ,$147 ,1,106,6/21/2019,1.26,3,2,
1040549,SpaHa Loft: Enormous and Bright,27952493551,,Adelaide,Manhattan,East Harlem,40.80164,-73.93922,FALSE,flexible,Entire home/apt,2017,$524 ,$105 ,4,190,6/23/2019,1.64,4,1,
1041102,Lovely EV Artist's Home,90314634438,unconfirmed,Reid,Manhattan,East Village,40.72162,-73.98008,FALSE,moderate,Entire home/apt,2019,$238 ,$48 ,9,49,5/14/2018,0.43,3,1,
1041654,Cool Room in Hell's Kitchen,44843744875,verified,Charlie,Manhattan,Hell's Kitchen,40.76342,-73.98865,FALSE,moderate,Private room,2017,$603 ,$121 ,7,23,1/6/2019,0.43,3,1,
1042206,"HARLEM, NEW YORK WELCOMES YOU!!",98195975718,,Violet,,Washington Heights,40.83139,-73.94095,TRUE,moderate,Private room,2011,$571 ,$114 ,2,49,6/18/2019,1.6,2,2,
1042759,BLUE TRIM GUEST HOUSE,4726877402,unconfirmed,Audrey,,Clinton Hill,40.68346,-73.96374,TRUE,strict,Private room,2014,$398 ,$80 ,2,105,6/26/2019,0.92,1,1,
1043311,Charming East Village One Bedroom Flat,74322993447,verified,Violet,,East Village,40.72828,-73.98801,FALSE,strict,Entire home/apt,2018,$618 ,$124 ,5,21,2/1/2019,0.2,4,1,
1043863,Manhattan Room,11468499446,verified,Sofia,,Upper East Side,40.76865,-73.95058,FALSE,strict,Private room,2007,$116 ,$23 ,1,142,6/7/2019,1.5,4,1,
1044415,Little King of Queens,68599531533,unconfirmed,Melanie,,Woodside,40.75038,-73.90334,TRUE,flexible,Private room,2012,$54 ,$11 ,30,25,,0.22,2,1,
1044968,Fort Greene Retreat on the Park,43811392937,,Lenny,Brooklyn,Fort Greene,40.6932,-73.97267,TRUE,flexible,Private room,2013,$744 ,$149 ,3,143,6/16/2019,1.28,2,1,
1045520,Beautiful Meatpacking District Loft,6644226026,unconfirmed,Eddy,Manhattan,Chelsea,40.74138,-74.00197,TRUE,strict,Private room,2011,"$1,065 ",$213 ,3,167,5/28/2019,1.65,4,1,
1046625,Spacious luminous apt Upper West NYC,97798221815,verified,Alisa,Manhattan,Harlem,40.82915,-73.95136,TRUE,flexible,Entire home/apt,2005,"$1,056 ",$211 ,31,54,3/23/2019,0.49,3,1,
1047177,Entire 2 Bedroom - Large & Sunny,54627928830,verified,Edgar,Manhattan,Lower East Side,40.71851,-73.98892,FALSE,moderate,Entire home/apt,2017,$909 ,$182 ,5,70,,0.62,4,1,
1047729,"Sunny, Spacious Top Floor Haven",88585125323,verified,Justin,Brooklyn,Flatbush,40.65401,-73.96323,TRUE,moderate,Entire home/apt,2017,$586 ,$117 ,6,16,6/15/2019,0.15,4,1,
1048282,Private room Great Deal at Lower East Side,15834881958,unconfirmed,Violet,Manhattan,Lower East Side,40.7114,-73.98794,TRUE,strict,Private room,2013,$575 ,$115 ,30,94,8/4/2019,0.84,3,1,
1048834,perfect for a family or small group,34333762709,unconfirmed,Sienna,Brooklyn,Brooklyn Heights,40.69723,-73.99268,FALSE,strict,Entire home/apt,2013,$292 ,$58 ,1,25,4/8/2016,0.24,3,1,
1049386,2 bedroom Williamsburg Apt - Bedford L stop,76203104999,verified,Lucy,Brooklyn,Williamsburg,40.71833,-73.95748,TRUE,strict,Entire home/apt,2007,$194 ,$39 ,3,61,9/8/2018,0.53,4,1,
1049938,Oh glorious spring!,7693754055,unconfirmed,Ellia,Manhattan,East Village,40.72334,-73.9844,FALSE,flexible,Private room,2022,$123 ,$25 ,3,194,6/30/2019,1.73,2,1,
1050491,Great Location for NYC,65444463877,,Emma,Manhattan,East Village,40.72912,-73.98057,FALSE,strict,Private room,2004,"$1,079 ",$216 ,1,2,2/14/2016,0.05,5,1,
1051043,Cozy Bedroom in Williamsburg 3 BR,14067827221,unconfirmed,Lilianna,,Williamsburg,40.71156,-73.96218,FALSE,moderate,Private room,2015,$266 ,$53 ,3,174,6/22/2019,1.54,5,4,
1051595,Sunny room+Pvte office in huge loft,12884105458,,Albert,,Bushwick,40.70032,-73.9383,FALSE,moderate,Private room,2012,$728 ,$146 ,4,24,,0.28,5,1,
1052148,Spacious Prospect Heights Apartment,63218812094,unconfirmed,Sarah,,Prospect Heights,40.68233,-73.97261,FALSE,flexible,Entire home/apt,2021,$583 ,$117 ,4,166,6/27/2019,3.4,2,1,
1052700,"Large Parlor Room, Landmark Home 1 block to PRATT",89635238032,unconfirmed,Rubie,Brooklyn,Clinton Hill,40.68634,-73.966,TRUE,moderate,Private room,2012,$51 ,$10 ,7,16,5/31/2019,0.2,,6,
1053252,2-bed brownstone duplex + garden,40398018895,unconfirmed,Alfred,Brooklyn,Prospect Heights,40.68035,-73.97162,FALSE,moderate,Entire home/apt,2018,$588 ,$118 ,7,21,5/21/2019,0.3,,1,
1053805,Charming 1 bed GR8 WBurg LOCATION!,85349309260,,Chester,Brooklyn,Williamsburg,40.70984,-73.95775,FALSE,moderate,Entire home/apt,2010,$360 ,$72 ,5,168,7/22/2018,1.57,,1,82
1057118,loft bed - near transportation-15min to times sq,71312861184,unconfirmed,Edgar,Manhattan,Harlem,40.82279,-73.95139,,flexible,Private room,2013,$913 ,$183 ,,11,,0.87,,3,201
1057671,House On Henry (3rd FLR Suite),66356095263,unconfirmed,Albert,Brooklyn,Carroll Gardens,40.67967,-74.00154,,flexible,Entire home/apt,2006,$507 ,$101 ,,233,6/24/2019,2.09,,3,328
1058223,Monkey Retreat Manhattan,62028601494,verified,Kelsey,Manhattan,Washington Heights,40.83927,-73.94281,,strict,Private room,2007,$306 ,$61 ,,68,2/1/2022,0.6,,1,393
1058775,2000 SF 3br 2bath West Village private  townhouse,90570445423,verified,Adelaide,Manhattan,West Village,40.73096,-74.00319,,strict,Entire home/apt,2012,"$1,078 ",$216 ,,46,5/18/2019,0.55,2,2,96
1059328,"Williamsburgâ€”Steps To Subway, Private Bath&Balcony",14752755860,verified,April,Brooklyn,Williamsburg,40.71332,-73.94177,,moderate,Private room,2004,$887 ,$177 ,,335,5/29/2019,3.02,1,1,61
1059880,Beautiful Duplex Apartment,74182934364,verified,Lilianna,Brooklyn,Park Slope,40.66941,-73.98109,,moderate,Entire home/apt,2008,$243 ,$49 ,30,88,2/11/2018,0.79,2,1,267
1060432,Large 2 Bedroom Great for Groups!,94662871331,unconfirmed,Tess,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,,flexible,Entire home/apt,2016,$500 ,$100 ,90,162,6/28/2019,1.46,3,2,189
1060984,"Modern Brooklyn Apt., August sublet",38981444696,unconfirmed,Ned,Brooklyn,Williamsburg,40.71459,-73.94844,FALSE,strict,Entire home/apt,2017,$589 ,$118 ,30,29,5/26/2018,0.4,1,1,83
1061537,"1,800 sq foot in luxury building",18044628997,unconfirmed,Emma,Manhattan,Harlem,40.8092,-73.94421,TRUE,flexible,Private room,2005,$839 ,$168 ,2,170,6/23/2019,1.61,1,1,258
1062089,Sunny 2-story Brooklyn townhouse w deck and garden,85201462079,verified,Alen,Brooklyn,Gowanus,40.68157,-73.98989,FALSE,strict,Entire home/apt,2011,$528 ,$106 ,30,19,3/17/2017,0.2,2,1,400
1062641,"Times Square, Safe, Clean and Cozy!",61210263217,unconfirmed,Kevin,Manhattan,Hell's Kitchen,40.75527,-73.99291,TRUE,strict,Private room,2014,$66 ,$13 ,2,334,6/16/2019,3,1,2,34
1063194,"Cozy Room #3, Landmark Home 1 Block to PRATT",85719117699,unconfirmed,Miller,Brooklyn,Clinton Hill,40.68698,-73.96572,TRUE,flexible,Private room,2014,$761 ,$152 ,2,19,2/6/2019,0.2,4,6,203
1063746,Beautiful Apartment East Village,95420528585,verified,Penelope,Manhattan,East Village,40.7288,-73.98192,TRUE,flexible,Entire home/apt,2007,$523 ,$105 ,7,12,,0.13,5,1,35
1064298,Park Slope Green Guest House,56820832918,,Rosie,Brooklyn,South Slope,40.66853,-73.98912,TRUE,strict,Entire home/apt,2004,$631 ,$126 ,30,467,12/30/2018,4.22,3,2,280
1064851,2 BR / 2 Bath Duplex Apt with patio! East Village,63842204720,,Olivia,Manhattan,East Village,40.7254,-73.98157,FALSE,flexible,Entire home/apt,2008,$677 ,$135 ,2,7,9/8/2017,0.06,5,,417
1065403,NYC fabulous views Manhattan's eye,14374368872,,Paige,Manhattan,Kips Bay,40.74294,-73.98009,TRUE,flexible,Entire home/apt,2008,$574 ,$115 ,5,38,2/12/2015,0.38,3,,162
1065955,2 story family home in Williamsburg,40328778117,,Agata,Brooklyn,Williamsburg,40.71942,-73.95748,TRUE,flexible,Entire home/apt,2003,$232 ,$46 ,3,324,6/23/2019,3.01,,,169
1066507,"Large Parlor Room, Landmark Home 1 block to PRATT",87894881413,,David,Manhattan,Upper West Side,40.77823,-73.97637,FALSE,strict,Entire home/apt,,"$1,154 ",$231 ,6,27,4/27/2019,0.27,,,237
1067060,Great Large 1 BR apt  in East Village!,27506185339,,Adelaide,Manhattan,East Village,40.72555,-73.97965,FALSE,strict,Entire home/apt,,$737 ,$147 ,1,115,7/6/2019,1.05,,,242
1067612,Eveland Private Bed & Living Room w/ Own Entrance,25474679480,,Fenton,Brooklyn,South Slope,40.66831,-73.98604,TRUE,moderate,Private room,,$456 ,$91 ,2,354,5/20/2019,3.2,,,227
1068164,Sugar Hill Rest Stop,81078988196,,Madaline,Manhattan,Harlem,40.82754,-73.94919,TRUE,moderate,Entire home/apt,2005,$291 ,$58 ,2,195,1/7/2019,2.03,,,173
1068717,3 Story Town House in Park Slope,9853816495,,Darcy,Brooklyn,South Slope,40.66499,-73.97925,TRUE,strict,Entire home/apt,2021,$996 ,$199 ,2,16,12/30/2018,0.24,,,146
1069269,apartment next to Central park,65890112273,,Aida,Manhattan,Upper West Side,40.77842,-73.97556,TRUE,flexible,Entire home/apt,2008,$788 ,$158 ,7,13,6/26/2019,0.12,,,243
1069821,East Village Sanctuary,21125900343,unconfirmed,Jasmine,Manhattan,East Village,40.72245,-73.98527,TRUE,flexible,Entire home/apt,2013,"$1,105 ",$221 ,4,25,10/12/2021,0.23,1,,425
1070374,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,63113999922,verified,Robert,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,TRUE,moderate,Private room,2015,"$1,109 ",$222 ,2,9,5/10/2018,0.08,4,,113
1070926,Modern Apt with Spectacular Views,96956465387,verified,Lucas,Brooklyn,Williamsburg,40.71923,-73.96468,TRUE,strict,Private room,2004,$659 ,$132 ,1,9,9/18/2021,0.08,4,,260
1071478,Garden studio in the Upper East Sid,77172555024,unconfirmed,Miller,Manhattan,Upper East Side,40.778,-73.94822,FALSE,strict,Entire home/apt,2007,$571 ,$114 ,5,21,8/15/2024,0.19,4,,395
1072030,Secluded Master Bedroom in Beautiful Huge Apt,44493053522,verified,Dexter,Manhattan,Washington Heights,40.85879,-73.93128,TRUE,flexible,Private room,2010,$736 ,$147 ,15,36,8/17/2017,0.33,5,,266
1072583,B & B Room 1,46312284523,verified,Darcy,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,TRUE,moderate,Private room,2013,$946 ,$189 ,3,63,5/14/2019,0.58,1,,58
1073135,ACCOMMODATIONS GALORE #1,90525781448,unconfirmed,Daniel,Manhattan,Harlem,40.81618,-73.94894,TRUE,flexible,Entire home/apt,2005,$449 ,$90 ,3,155,6/20/2019,1.42,3,3,410
1073687,Sunny Room in New Condo,35058485479,verified,Victoria,Brooklyn,Clinton Hill,40.68414,-73.96351,FALSE,moderate,Private room,2018,$930 ,$186 ,3,260,3/7/2019,2.35,4,1,388
1074240,Stylish & Sleek Apartment Near SoHo!,24559680874,verified,Brooke,Manhattan,East Village,40.72392,-73.99143,FALSE,strict,Entire home/apt,2006,$329 ,$66 ,5,73,6/25/2019,0.66,4,1,13
1074792,NYC artistsâ€™ loft with roof deck,48867545848,verified,Lilianna,Brooklyn,Greenpoint,40.73494,-73.9503,FALSE,flexible,Private room,2006,"$1,125 ",$225 ,3,193,5/20/2019,1.86,2,1,62
1075344,Unique & Charming small 1br Apt. LES,77518406270,unconfirmed,,Manhattan,Lower East Side,40.71341,-73.98856,FALSE,moderate,Entire home/apt,2013,"$1,099 ",$220 ,3,32,6/14/2019,0.29,5,1,62
1075897,Most Central Location!,53246473793,unconfirmed,,Manhattan,Hell's Kitchen,40.76754,-73.98399,FALSE,strict,Private room,2013,$256 ,$51 ,2,50,5/26/2019,0.45,2,3,366
1076449,2000 SF 3br 2bath West Village private  townhouse,80835835733,unconfirmed,,Manhattan,West Village,40.73442,-74.00303,FALSE,strict,Entire home/apt,2013,$263 ,$53 ,29,26,1/7/2019,0.25,5,1,338
1077001,Sanctuary in East Flatbush,41763838164,unconfirmed,Anna,Brooklyn,Flatlands,40.63188,-73.93248,TRUE,moderate,Private room,2020,$96 ,$19 ,2,2,1/1/2019,0.02,4,1,334
1077553,Room with En Suite Bathroom & Deck,80213101260,verified,Dominik,Brooklyn,Clinton Hill,40.6873,-73.9634,TRUE,strict,Private room,2021,"$1,192 ",$238 ,,426,6/24/2019,3.89,3,3,92
1078106,FLAT MACDONOUGH,12359551036,unconfirmed,Frederick,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,FALSE,flexible,Entire home/apt,2010,$593 ,$119 ,,227,6/23/2019,2.09,5,2,-10
1078658,Huge Private  Floor at The Waverly,6534696854,verified,Adrian,Brooklyn,Clinton Hill,40.6863,-73.96765,TRUE,flexible,Private room,2012,$490 ,$98 ,,84,,0.77,2,3,378
1079210,"Modern Greenpoint, Brooklyn Apt",63891709973,verified,Martin,Brooklyn,Greenpoint,40.73409,-73.95348,FALSE,moderate,Entire home/apt,2016,$488 ,$98 ,,,,0.03,4,1,325
1079763,"Sun-drenched, artsy modernist 1 BDRM duplex",83716006050,unconfirmed,Kellan,Brooklyn,Williamsburg,40.71561,-73.94835,TRUE,moderate,Entire home/apt,2004,$658 ,$132 ,,10,,0.1,5,1,-2
1080315,"Sunny, Cobble Hill Apartment",82129516523,unconfirmed,Hailey,Brooklyn,Cobble Hill,40.6857,-73.99183,FALSE,flexible,Entire home/apt,2017,"$1,109 ",$222 ,,4,,0.04,3,1,351
