id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,total_cost
1023980,ENJOY Downtown NYC!,63131487263,unconfirmed,Byron,Manhattan,East Village,40.7229,-73.98199,False,strict,Private room,2005.0,563.0,113.0,2.0,245.0,2019-06-21 00:00:00,2.08,3.0,2.0,354.0,676.0
1024533,Beautiful Sunny Park Slope Brooklyn,50357575975,verified,Alina,Brooklyn,South Slope,40.66278,-73.97966,True,flexible,Entire home/apt,2020.0,370.0,74.0,3.0,15.0,2019-05-27 00:00:00,0.39,2.0,1.0,33.0,444.0
1025085,1bdr w private bath. in lofty apt,45597582469,Unknown,Charlie,Brooklyn,Fort Greene,40.69673,-73.97584,False,strict,Private room,2008.0,687.0,137.0,7.0,25.0,2018-09-30 00:00:00,0.23,1.0,1.0,405.0,824.0
1025637,West Side Retreat,55430108992,unconfirmed,Alford,Manhattan,Upper West Side,40.79009,-73.97927,False,strict,Private room,2017.0,856.0,171.0,4.0,81.0,2019-06-16 00:00:00,0.69,3.0,1.0,86.0,1027.0
1026190,BEST BET IN HARLEM,2107606817,unconfirmed,Chester,Manhattan,Harlem,40.81175,-73.94478,True,flexible,Entire home/apt,2006.0,62.0,12.0,7.0,97.0,2019-06-13 00:00:00,0.84,0.0,1.0,152.0,74.0
1026742,Entire apartment in central Brooklyn neighborhood.,41615406010,Unknown,David,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,False,strict,Entire home/apt,2007.0,435.0,87.0,3.0,11.0,2019-05-06 00:00:00,0.49,0.0,1.0,353.0,522.0
1027294,"1 Stop fr. Manhattan! Private Suite,Landmark Block",81253735818,unconfirmed,Victoria,Queens,Long Island City,40.74771,-73.9474,True,flexible,Private room,2022.0,916.0,183.0,3.0,248.0,2019-01-07 00:00:00,2.25,0.0,1.0,26.0,1099.0
1027846,Charming Brownstone 3 - Near PRATT,42134614458,verified,Jared,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,True,moderate,Entire home/apt,2019.0,459.0,92.0,3.0,61.0,2019-05-25 00:00:00,0.52,0.0,1.0,32.0,551.0
1028399,bright and stylish duplex,53466382920,verified,Chloe,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,False,moderate,Entire home/apt,2015.0,363.0,73.0,3.0,11.0,2017-01-01 00:00:00,0.1,1.0,1.0,85.0,436.0
1028951,Fort Greene brownstone,49393946881,unconfirmed,Abraham,Brooklyn,Fort Greene,40.69142,-73.97376,True,strict,Private room,2009.0,212.0,42.0,3.0,135.0,2019-06-17 00:00:00,1.16,1.0,2.0,209.0,254.0
1029503,Blue Room for 2 in Brownstone for $1350 monthly,1529890895,unconfirmed,Sophia,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,False,moderate,Private room,2015.0,728.0,146.0,3.0,112.0,2019-06-16 00:00:00,1.01,2.0,3.0,209.0,874.0
1030056,Cozy 1BD on Central Park West in New York City,50562514538,unconfirmed,Madaline,Manhattan,Upper West Side,40.78635,-73.97008,True,strict,Entire home/apt,2013.0,901.0,180.0,3.0,73.0,2019-07-07 00:00:00,0.63,3.0,1.0,209.0,1081.0
1030608,* ORIGINAL BROOKLYN LOFT *,49585766302,verified,Sawyer,Brooklyn,Williamsburg,40.7042,-73.9356,False,flexible,Entire home/apt,2007.0,335.0,67.0,3.0,82.0,2019-05-17 00:00:00,0.7,2.0,1.0,209.0,402.0
1031160,Greenpoint Place...Has It All!,52857769781,unconfirmed,Madaline,Brooklyn,Greenpoint,40.73506,-73.95392,True,moderate,Entire home/apt,2014.0,254.0,51.0,3.0,328.0,2019-06-29 00:00:00,2.82,5.0,1.0,209.0,305.0
1031713,Beautiful Apartment in Manhattan!!!,39829029279,verified,Richard,Manhattan,Kips Bay,40.73961,-73.98074,True,moderate,Entire home/apt,2017.0,903.0,181.0,3.0,19.0,2019-03-25 00:00:00,0.22,5.0,1.0,209.0,1084.0
1032265,Williamsburg 1 bedroom Apartment,84933495312,unconfirmed,Paul,Brooklyn,Williamsburg,40.70881,-73.9593,False,moderate,Entire home/apt,2012.0,439.0,88.0,30.0,105.0,2019-06-22 00:00:00,0.9,5.0,1.0,209.0,527.0
1037236,Double Room w Private Deck Clinton Hill Best Area,71078326464,unconfirmed,William,Brooklyn,Clinton Hill,40.69,-73.96788,False,flexible,Private room,2010.0,825.0,165.0,7.0,27.0,2017-09-30 00:00:00,0.23,2.0,2.0,209.0,990.0
1037788,Your Heaven in Hells Kitchen,20543275700,verified,Melissa,Manhattan,Hell's Kitchen,40.75979,-73.99119,False,strict,Private room,2013.0,646.0,129.0,30.0,191.0,Unknown,1.65,1.0,1.0,209.0,775.0
1038340,Light-filled 2B duplex in the heart of Park Slope!,42969787263,verified,Ellia,Brooklyn,Park Slope,40.67343,-73.98338,False,flexible,Entire home/apt,2006.0,1037.0,207.0,3.0,4.0,2017-09-24 00:00:00,0.16,3.0,1.0,209.0,1244.0
1038892,"Sunny, Modern room in East Village!",79667908130,unconfirmed,Walter,Manhattan,East Village,40.72649,-73.97904,False,strict,Private room,2015.0,87.0,17.0,1.0,338.0,2019-01-07 00:00:00,4.72,3.0,2.0,209.0,104.0
1039445,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,19095545297,unconfirmed,Sawyer,Brooklyn,Williamsburg,40.70933,-73.96792,True,moderate,Entire home/apt,2007.0,316.0,63.0,1.0,148.0,2019-06-23 00:00:00,1.4,1.0,1.0,209.0,379.0
1039997,Large Room in Amazing East Village Apt,58710475260,unconfirmed,Valeria,Manhattan,East Village,40.72298,-73.98474,True,flexible,Private room,2017.0,735.0,147.0,1.0,106.0,2019-06-21 00:00:00,1.26,3.0,2.0,209.0,882.0
1040549,SpaHa Loft: Enormous and Bright,27952493551,Unknown,Adelaide,Manhattan,East Harlem,40.80164,-73.93922,False,flexible,Entire home/apt,2017.0,524.0,105.0,4.0,190.0,2019-06-23 00:00:00,1.64,4.0,1.0,209.0,629.0
1041102,Lovely EV Artist's Home,90314634438,unconfirmed,Reid,Manhattan,East Village,40.72162,-73.98008,False,moderate,Entire home/apt,2019.0,238.0,48.0,9.0,49.0,2018-05-14 00:00:00,0.43,3.0,1.0,209.0,286.0
1041654,Cool Room in Hell's Kitchen,44843744875,verified,Charlie,Manhattan,Hell's Kitchen,40.76342,-73.98865,False,moderate,Private room,2017.0,603.0,121.0,7.0,23.0,2019-01-06 00:00:00,0.43,3.0,1.0,209.0,724.0
1042206,"HARLEM, NEW YORK WELCOMES YOU!!",98195975718,Unknown,Violet,Unknown,Washington Heights,40.83139,-73.94095,True,moderate,Private room,2011.0,571.0,114.0,2.0,49.0,2019-06-18 00:00:00,1.6,2.0,2.0,209.0,685.0
1042759,BLUE TRIM GUEST HOUSE,4726877402,unconfirmed,Audrey,Unknown,Clinton Hill,40.68346,-73.96374,True,strict,Private room,2014.0,398.0,80.0,2.0,105.0,2019-06-26 00:00:00,0.92,1.0,1.0,209.0,478.0
1043311,Charming East Village One Bedroom Flat,74322993447,verified,Violet,Unknown,East Village,40.72828,-73.98801,False,strict,Entire home/apt,2018.0,618.0,124.0,5.0,21.0,2019-02-01 00:00:00,0.2,4.0,1.0,209.0,742.0
1043863,Manhattan Room,11468499446,verified,Sofia,Unknown,Upper East Side,40.76865,-73.95058,False,strict,Private room,2007.0,116.0,23.0,1.0,142.0,2019-06-07 00:00:00,1.5,4.0,1.0,209.0,139.0
1044415,Little King of Queens,68599531533,unconfirmed,Melanie,Unknown,Woodside,40.75038,-73.90334,True,flexible,Private room,2012.0,54.0,11.0,30.0,25.0,Unknown,0.22,2.0,1.0,209.0,65.0
1044968,Fort Greene Retreat on the Park,43811392937,Unknown,Lenny,Brooklyn,Fort Greene,40.6932,-73.97267,True,flexible,Private room,2013.0,744.0,149.0,3.0,143.0,2019-06-16 00:00:00,1.28,2.0,1.0,209.0,893.0
1045520,Beautiful Meatpacking District Loft,6644226026,unconfirmed,Eddy,Manhattan,Chelsea,40.74138,-74.00197,True,strict,Private room,2011.0,1065.0,213.0,3.0,167.0,2019-05-28 00:00:00,1.65,4.0,1.0,209.0,1278.0
1046625,Spacious luminous apt Upper West NYC,97798221815,verified,Alisa,Manhattan,Harlem,40.82915,-73.95136,True,flexible,Entire home/apt,2005.0,1056.0,211.0,31.0,54.0,2019-03-23 00:00:00,0.49,3.0,1.0,209.0,1267.0
1047177,Entire 2 Bedroom - Large & Sunny,54627928830,verified,Edgar,Manhattan,Lower East Side,40.71851,-73.98892,False,moderate,Entire home/apt,2017.0,909.0,182.0,5.0,70.0,Unknown,0.62,4.0,1.0,209.0,1091.0
1047729,"Sunny, Spacious Top Floor Haven",88585125323,verified,Justin,Brooklyn,Flatbush,40.65401,-73.96323,True,moderate,Entire home/apt,2017.0,586.0,117.0,6.0,16.0,2019-06-15 00:00:00,0.15,4.0,1.0,209.0,703.0
1048282,Private room Great Deal at Lower East Side,15834881958,unconfirmed,Violet,Manhattan,Lower East Side,40.7114,-73.98794,True,strict,Private room,2013.0,575.0,115.0,30.0,94.0,2019-08-04 00:00:00,0.84,3.0,1.0,209.0,690.0
1048834,perfect for a family or small group,34333762709,unconfirmed,Sienna,Brooklyn,Brooklyn Heights,40.69723,-73.99268,False,strict,Entire home/apt,2013.0,292.0,58.0,1.0,25.0,2016-04-08 00:00:00,0.24,3.0,1.0,209.0,350.0
1049386,2 bedroom Williamsburg Apt - Bedford L stop,76203104999,verified,Lucy,Brooklyn,Williamsburg,40.71833,-73.95748,True,strict,Entire home/apt,2007.0,194.0,39.0,3.0,61.0,2018-09-08 00:00:00,0.53,4.0,1.0,209.0,233.0
1049938,Oh glorious spring!,7693754055,unconfirmed,Ellia,Manhattan,East Village,40.72334,-73.9844,False,flexible,Private room,2022.0,123.0,25.0,3.0,194.0,2019-06-30 00:00:00,1.73,2.0,1.0,209.0,148.0
1050491,Great Location for NYC,65444463877,Unknown,Emma,Manhattan,East Village,40.72912,-73.98057,False,strict,Private room,2004.0,1079.0,216.0,1.0,2.0,2016-02-14 00:00:00,0.05,5.0,1.0,209.0,1295.0
1051043,Cozy Bedroom in Williamsburg 3 BR,14067827221,unconfirmed,Lilianna,Unknown,Williamsburg,40.71156,-73.96218,False,moderate,Private room,2015.0,266.0,53.0,3.0,174.0,2019-06-22 00:00:00,1.54,5.0,4.0,209.0,319.0
1051595,Sunny room+Pvte office in huge loft,12884105458,Unknown,Albert,Unknown,Bushwick,40.70032,-73.9383,False,moderate,Private room,2012.0,728.0,146.0,4.0,24.0,Unknown,0.28,5.0,1.0,209.0,874.0
1052148,Spacious Prospect Heights Apartment,63218812094,unconfirmed,Sarah,Unknown,Prospect Heights,40.68233,-73.97261,False,flexible,Entire home/apt,2021.0,583.0,117.0,4.0,166.0,2019-06-27 00:00:00,3.4,2.0,1.0,209.0,700.0
1052700,"Large Parlor Room, Landmark Home 1 block to PRATT",89635238032,unconfirmed,Rubie,Brooklyn,Clinton Hill,40.68634,-73.966,True,moderate,Private room,2012.0,51.0,10.0,7.0,16.0,2019-05-31 00:00:00,0.2,0.0,6.0,209.0,61.0
1053252,2-bed brownstone duplex + garden,40398018895,unconfirmed,Alfred,Brooklyn,Prospect Heights,40.68035,-73.97162,False,moderate,Entire home/apt,2018.0,588.0,118.0,7.0,21.0,2019-05-21 00:00:00,0.3,0.0,1.0,209.0,706.0
1053805,Charming 1 bed GR8 WBurg LOCATION!,85349309260,Unknown,Chester,Brooklyn,Williamsburg,40.70984,-73.95775,False,moderate,Entire home/apt,2010.0,360.0,72.0,5.0,168.0,2018-07-22 00:00:00,1.57,0.0,1.0,82.0,432.0
1057118,loft bed - near transportation-15min to times sq,71312861184,unconfirmed,Edgar,Manhattan,Harlem,40.82279,-73.95139,Unknown,flexible,Private room,2013.0,913.0,183.0,3.0,11.0,Unknown,0.87,0.0,3.0,201.0,1096.0
1057671,House On Henry (3rd FLR Suite),66356095263,unconfirmed,Albert,Brooklyn,Carroll Gardens,40.67967,-74.00154,Unknown,flexible,Entire home/apt,2006.0,507.0,101.0,3.0,233.0,2019-06-24 00:00:00,2.09,0.0,3.0,328.0,608.0
1058223,Monkey Retreat Manhattan,62028601494,verified,Kelsey,Manhattan,Washington Heights,40.83927,-73.94281,Unknown,strict,Private room,2007.0,306.0,61.0,3.0,68.0,2022-02-01 00:00:00,0.6,0.0,1.0,393.0,367.0
1058775,2000 SF 3br 2bath West Village private  townhouse,90570445423,verified,Adelaide,Manhattan,West Village,40.73096,-74.00319,Unknown,strict,Entire home/apt,2012.0,1078.0,216.0,3.0,46.0,2019-05-18 00:00:00,0.55,2.0,2.0,96.0,1294.0
1059328,"Williamsburgâ€”Steps To Subway, Private Bath&Balcony",14752755860,verified,April,Brooklyn,Williamsburg,40.71332,-73.94177,Unknown,moderate,Private room,2004.0,887.0,177.0,3.0,335.0,2019-05-29 00:00:00,3.02,1.0,1.0,61.0,1064.0
1059880,Beautiful Duplex Apartment,74182934364,verified,Lilianna,Brooklyn,Park Slope,40.66941,-73.98109,Unknown,moderate,Entire home/apt,2008.0,243.0,49.0,30.0,88.0,2018-02-11 00:00:00,0.79,2.0,1.0,267.0,292.0
1060432,Large 2 Bedroom Great for Groups!,94662871331,unconfirmed,Tess,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Unknown,flexible,Entire home/apt,2016.0,500.0,100.0,90.0,162.0,2019-06-28 00:00:00,1.46,3.0,2.0,189.0,600.0
1060984,"Modern Brooklyn Apt., August sublet",38981444696,unconfirmed,Ned,Brooklyn,Williamsburg,40.71459,-73.94844,False,strict,Entire home/apt,2017.0,589.0,118.0,30.0,29.0,2018-05-26 00:00:00,0.4,1.0,1.0,83.0,707.0
1061537,"1,800 sq foot in luxury building",18044628997,unconfirmed,Emma,Manhattan,Harlem,40.8092,-73.94421,True,flexible,Private room,2005.0,839.0,168.0,2.0,170.0,2019-06-23 00:00:00,1.61,1.0,1.0,258.0,1007.0
1062089,Sunny 2-story Brooklyn townhouse w deck and garden,85201462079,verified,Alen,Brooklyn,Gowanus,40.68157,-73.98989,False,strict,Entire home/apt,2011.0,528.0,106.0,30.0,19.0,2017-03-17 00:00:00,0.2,2.0,1.0,400.0,634.0
1062641,"Times Square, Safe, Clean and Cozy!",61210263217,unconfirmed,Kevin,Manhattan,Hell's Kitchen,40.75527,-73.99291,True,strict,Private room,2014.0,66.0,13.0,2.0,334.0,2019-06-16 00:00:00,3.0,1.0,2.0,34.0,79.0
1063194,"Cozy Room #3, Landmark Home 1 Block to PRATT",85719117699,unconfirmed,Miller,Brooklyn,Clinton Hill,40.68698,-73.96572,True,flexible,Private room,2014.0,761.0,152.0,2.0,19.0,2019-02-06 00:00:00,0.2,4.0,6.0,203.0,913.0
1063746,Beautiful Apartment East Village,95420528585,verified,Penelope,Manhattan,East Village,40.7288,-73.98192,True,flexible,Entire home/apt,2007.0,523.0,105.0,7.0,12.0,Unknown,0.13,5.0,1.0,35.0,628.0
1064298,Park Slope Green Guest House,56820832918,Unknown,Rosie,Brooklyn,South Slope,40.66853,-73.98912,True,strict,Entire home/apt,2004.0,631.0,126.0,30.0,467.0,2018-12-30 00:00:00,4.22,3.0,2.0,280.0,757.0
1064851,2 BR / 2 Bath Duplex Apt with patio! East Village,63842204720,Unknown,Olivia,Manhattan,East Village,40.7254,-73.98157,False,flexible,Entire home/apt,2008.0,677.0,135.0,2.0,7.0,2017-09-08 00:00:00,0.06,5.0,1.0,417.0,812.0
1065403,NYC fabulous views Manhattan's eye,14374368872,Unknown,Paige,Manhattan,Kips Bay,40.74294,-73.98009,True,flexible,Entire home/apt,2008.0,574.0,115.0,5.0,38.0,2015-02-12 00:00:00,0.38,3.0,1.0,162.0,689.0
1065955,2 story family home in Williamsburg,40328778117,Unknown,Agata,Brooklyn,Williamsburg,40.71942,-73.95748,True,flexible,Entire home/apt,2003.0,232.0,46.0,3.0,324.0,2019-06-23 00:00:00,3.01,0.0,1.0,169.0,278.0
1066507,"Large Parlor Room, Landmark Home 1 block to PRATT",87894881413,Unknown,David,Manhattan,Upper West Side,40.77823,-73.97637,False,strict,Entire home/apt,2003.0,1154.0,231.0,6.0,27.0,2019-04-27 00:00:00,0.27,0.0,1.0,237.0,1385.0
1067060,Great Large 1 BR apt  in East Village!,27506185339,Unknown,Adelaide,Manhattan,East Village,40.72555,-73.97965,False,strict,Entire home/apt,2003.0,737.0,147.0,1.0,115.0,2019-07-06 00:00:00,1.05,0.0,1.0,242.0,884.0
1067612,Eveland Private Bed & Living Room w/ Own Entrance,25474679480,Unknown,Fenton,Brooklyn,South Slope,40.66831,-73.98604,True,moderate,Private room,2003.0,456.0,91.0,2.0,354.0,2019-05-20 00:00:00,3.2,0.0,1.0,227.0,547.0
1068164,Sugar Hill Rest Stop,81078988196,Unknown,Madaline,Manhattan,Harlem,40.82754,-73.94919,True,moderate,Entire home/apt,2005.0,291.0,58.0,2.0,195.0,2019-01-07 00:00:00,2.03,0.0,1.0,173.0,349.0
